epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae,lr,seconds
1,0.11944279593323905,0.009947314485197976,1.9150001395339669,0.122968240576131,0.010087857531649726,1.9299711616532815,0.001,138.19879460334778
2,0.1019395023612749,0.008544873242103864,1.7739140213673756,0.10479603258201055,0.008660256153770855,1.780072828484448,0.001,122.49315786361694
3,0.08720077769529253,0.007577469858148741,1.6761788190195996,0.09074330271993365,0.0077787873744964596,1.689964080954567,0.001,113.007488489151
4,0.08244637117735923,0.007633246559472311,1.6793964170048143,0.08358027533973966,0.007620443916746549,1.683258824422902,0.001,111.15360903739929
5,0.07704318959892742,0.006470397627542889,1.5426477043744267,0.07993686520201819,0.006613809662205833,1.5629768656307024,0.001,112.45557308197021
6,0.07146513271521009,0.005781522835294406,1.4598376916803484,0.07431755826302937,0.005918833072696413,1.4748472809145339,0.001,113.08884835243225
7,0.0696785945381437,0.005739200430020453,1.4534741445502384,0.0729240592632975,0.0059057118381772725,1.469888538479329,0.001,143.49193334579468
8,0.06735687526634761,0.005947921562052909,1.4826115509631286,0.07080012180975505,0.006113029588546072,1.5001895659291098,0.001,112.5051634311676
9,0.06566933718749456,0.005526511149628768,1.4271871026432137,0.06916834861040115,0.005728569248957293,1.4536644989079006,0.001,131.94663548469543
10,0.06541282152183472,0.005790198860423906,1.4636078226126392,0.06897890704018729,0.005966262036136218,1.4869268963051039,0.001,112.37681031227112
11,0.06353030157278454,0.005147447708816756,1.376887967637916,0.06825787990433829,0.005416645597134318,1.4107881963618671,0.001,112.76118493080139
12,0.06378906874429612,0.005373216089748201,1.4059766576565018,0.06764573287112373,0.005572157904505729,1.4330165675855406,0.001,111.60015296936035
13,0.06192092892574885,0.005210576623441681,1.3856626138542258,0.06597624086482184,0.005405615089195116,1.4107775765322006,0.001,112.53733515739441
14,0.06035080303275396,0.005000089564966777,1.3555105845175575,0.06481917776380267,0.005249066337943077,1.3887935771338449,0.001,112.1446464061737
15,0.059422850254982236,0.005764941576690901,1.4576426159838771,0.06424847356762205,0.006049318534987314,1.496123114471406,0.001,113.12565922737122
16,0.06038175443855543,0.005035935600598653,1.3601842703298306,0.06554431833539691,0.005344489487154143,1.4007571531828216,0.001,117.89327883720398
17,0.05858016934470525,0.005152997177271616,1.3779224402032393,0.06324421845163618,0.005416591369679996,1.4146698294659117,0.001,121.58772277832031
18,0.05828538825019958,0.0048084960475800525,1.3299033123413475,0.06372721289736884,0.005135805572782244,1.3713870756848987,0.001,112.54620695114136
19,0.059387925343854085,0.00491145267609566,1.343989658542996,0.06515769784791128,0.0052771856571946826,1.3851729745735648,0.001,113.7186050415039
20,0.05638950239192872,0.005604344777881153,1.4427470396709423,0.06210066492216928,0.005930525294372014,1.4858501180814752,0.001,111.74456262588501
21,0.055343253003226386,0.004550059164563815,1.2941517892591932,0.061223053889615194,0.004928346389106342,1.3425191374314098,0.001,112.52262234687805
22,0.05723388771972959,0.005991518521119678,1.4974176403792439,0.06245022068704877,0.006238196807248251,1.5315696017212792,0.001,123.19102716445923
23,0.05623809733892244,0.0045813962152552986,1.298640587960984,0.06246716243028641,0.004981310741177627,1.3490370470391755,0.001,112.71000146865845
24,0.05464387345645163,0.00450527741629926,1.2879477564084296,0.06044864119802203,0.0048792525316987715,1.3369507016090256,0.001,112.86146402359009
25,0.056158083440765505,0.004777230062536777,1.3262378340320296,0.06254728306191308,0.005197856558220727,1.383112120794206,0.001,113.02857422828674
26,0.05437114389737447,0.0052163351185265045,1.3884188046083936,0.06062436874423708,0.005620051951280662,1.4439238634885643,0.001,112.26993298530579
27,0.05521667749588452,0.005125131714438635,1.3764907018466728,0.061225108870438166,0.00548980121740273,1.4264628404930126,0.001,112.9691526889801
28,0.05411387175274274,0.004760119471521605,1.3229219248059216,0.06050171045746122,0.005169824544872557,1.384145588830079,0.0005,112.41980266571045
29,0.05239511118474461,0.004481935859909133,1.2829027803720963,0.05898377583708082,0.004892797670194081,1.342950725969802,0.0005,111.08539319038391
30,0.0511897170941035,0.004353109480369659,1.2638629061391744,0.05786495867797307,0.004793181309742587,1.3306992479961326,0.0005,127.39069986343384
31,0.05125648423603603,0.004364722935571557,1.2675380176613116,0.05764764578853335,0.00477336197240012,1.3251610119914234,0.0005,112.92449522018433
32,0.05127537811606649,0.004396959722515137,1.2709416690510156,0.05801893537385123,0.00484299406089953,1.3368116248719537,0.0005,112.75907850265503
33,0.05075366385825097,0.004207150368226899,1.2433732629097591,0.057978352742535724,0.004688942836863654,1.3098343387261593,0.0005,112.07560086250305
34,0.05159252618986463,0.005224390536310181,1.3926357238391767,0.058403732665947505,0.005653619161673955,1.4521131340507403,0.0005,121.93070149421692
35,0.05026779631158662,0.004163284006099852,1.2371765933319654,0.05748187608378274,0.004655987724661827,1.3069375926186457,0.0005,138.39477562904358
36,0.05118774981867699,0.004391345898073817,1.2721930401973525,0.05831230846473149,0.0048602513319679665,1.33509276879516,0.0005,112.92150211334229
37,0.05005985898299823,0.004133871381718015,1.2319624795865047,0.05702989738328116,0.004610558384231159,1.2982506757056045,0.0005,117.38389492034912
38,0.050772440239550576,0.004475822493670479,1.2837722080278524,0.057775948115757536,0.0049399151386959215,1.344455251719122,0.0005,117.87240028381348
39,0.049065810889951766,0.004237642756766743,1.249038696566059,0.05577966447387423,0.004678329887134688,1.3103720999324318,0.0005,118.50622487068176
40,0.04968006458216243,0.004247347191094406,1.2481959627727666,0.05675527157953807,0.004736369826963969,1.3195991644234972,0.0005,112.30023431777954
